DATE,DCOILWTICO
10/28/2019,55.6
10/29/2019,55.34
10/30/2019,54.85
10/31/2019,54.02
11/1/2019,56.04
11/4/2019,56.33
11/5/2019,57.04
11/6/2019,56.15
11/7/2019,56.91
11/8/2019,57.02
11/11/2019,.
11/12/2019,56.67
11/13/2019,56.88
11/14/2019,56.57
11/15/2019,57.54
11/18/2019,56.82
11/19/2019,54.93
11/20/2019,56.71
11/21/2019,58.36
11/22/2019,57.68
11/25/2019,57.79
11/26/2019,58.25
11/27/2019,58.12
11/28/2019,.
11/29/2019,58.12
12/2/2019,55.97
12/3/2019,56.15
12/4/2019,58.46
12/5/2019,58.42
12/6/2019,59.2
12/9/2019,58.99
12/10/2019,59.22
12/11/2019,58.74
12/12/2019,59.18
12/13/2019,60.11
12/16/2019,60.21
12/17/2019,60.88
12/18/2019,60.93
12/19/2019,61.3
12/20/2019,60.43
12/23/2019,60.51
12/24/2019,61.17
12/25/2019,.
12/26/2019,61.72
12/27/2019,61.76
12/30/2019,61.66
12/31/2019,61.14
1/1/2020,.
1/2/2020,61.17
1/3/2020,63
1/6/2020,63.27
1/7/2020,62.7
1/8/2020,59.65
1/9/2020,59.56
1/10/2020,59.02
1/13/2020,58.17
1/14/2020,58.34
1/15/2020,57.86
1/16/2020,58.52
1/17/2020,58.55
1/20/2020,.
1/21/2020,58.25
1/22/2020,56.76
1/23/2020,55.51
1/24/2020,54.09
1/27/2020,53.09
1/28/2020,53.33
1/29/2020,53.29
1/30/2020,52.19
1/31/2020,51.58
2/3/2020,50.06
2/4/2020,49.59
2/5/2020,50.87
2/6/2020,50.94
2/7/2020,50.34
2/10/2020,49.59
2/11/2020,50
2/12/2020,51.13
2/13/2020,51.41
2/14/2020,52.03
2/17/2020,.
2/18/2020,52.1
2/19/2020,53.31
2/20/2020,53.77
2/21/2020,53.36
2/24/2020,51.36
2/25/2020,49.78
2/26/2020,48.67
2/27/2020,47.17
2/28/2020,44.83
3/2/2020,46.78
3/3/2020,47.27
3/4/2020,46.78
3/5/2020,45.9
3/6/2020,41.14
3/9/2020,31.05
3/10/2020,34.47
3/11/2020,33.13
3/12/2020,31.56
3/13/2020,31.72
3/16/2020,28.96
3/17/2020,26.96
3/18/2020,20.48
3/19/2020,25.09
3/20/2020,19.48
3/23/2020,23.33
3/24/2020,21.03
3/25/2020,20.75
3/26/2020,16.6
3/27/2020,15.48
3/30/2020,14.1
3/31/2020,20.51
4/1/2020,20.28
4/2/2020,25.18
4/3/2020,28.36
4/6/2020,26.21
4/7/2020,23.54
4/8/2020,24.97
4/9/2020,22.9
4/10/2020,.
4/13/2020,22.36
4/14/2020,20.15
4/15/2020,19.96
4/16/2020,19.82
4/17/2020,18.31
4/20/2020,-36.98
4/21/2020,8.91
4/22/2020,13.64
4/23/2020,15.06
4/24/2020,15.99
4/27/2020,12.17
4/28/2020,12.4
4/29/2020,15.04
4/30/2020,19.23
5/1/2020,19.72
5/4/2020,20.47
5/5/2020,24.56
5/6/2020,23.88
5/7/2020,23.68
5/8/2020,24.73
5/11/2020,24.02
5/12/2020,25.76
5/13/2020,25.37
5/14/2020,27.4
5/15/2020,29.44
5/18/2020,31.83
5/19/2020,32.3
5/20/2020,33.56
5/21/2020,34.3
5/22/2020,33.49
5/25/2020,.
5/26/2020,34.7
5/27/2020,32.8
5/28/2020,33.67
5/29/2020,35.57
6/1/2020,35.49
6/2/2020,36.88
6/3/2020,37.33
6/4/2020,37.42
6/5/2020,39.49
6/8/2020,38.17
6/9/2020,38.98
6/10/2020,39.54
6/11/2020,36.43
6/12/2020,36.24
6/15/2020,37.07
6/16/2020,38.26
6/17/2020,37.91
6/18/2020,38.79
6/19/2020,39.72
6/22/2020,40.6
6/23/2020,40.4
6/24/2020,37.91
6/25/2020,38.66
6/26/2020,38.53
6/29/2020,39.67
6/30/2020,39.27
7/1/2020,39.88
7/2/2020,40.57
7/3/2020,.
7/6/2020,40.51
7/7/2020,40.59
7/8/2020,40.91
7/9/2020,39.64
7/10/2020,40.56
7/13/2020,40.06
7/14/2020,40.3
7/15/2020,41.2
7/16/2020,40.74
7/17/2020,40.55
7/20/2020,40.83
7/21/2020,41.76
7/22/2020,41.88
7/23/2020,40.99
7/24/2020,41.23
7/27/2020,41.46
7/28/2020,40.89
7/29/2020,41.13
7/30/2020,39.85
7/31/2020,40.1
8/3/2020,40.83
8/4/2020,41.67
8/5/2020,42.25
8/6/2020,41.93
8/7/2020,41.16
8/10/2020,41.94
8/11/2020,41.53
8/12/2020,42.6
8/13/2020,42.26
8/14/2020,42.05
8/17/2020,42.89
8/18/2020,42.89
8/19/2020,42.91
8/20/2020,42.62
8/21/2020,42.32
8/24/2020,42.44
8/25/2020,43.17
8/26/2020,43.21
8/27/2020,42.88
8/28/2020,42.96
8/31/2020,42.61
9/1/2020,42.76
9/2/2020,42.76
9/3/2020,41.39
9/4/2020,39.69
9/7/2020,.
9/8/2020,36.87
9/9/2020,38.05
9/10/2020,37.25
9/11/2020,37.33
9/14/2020,37.23
9/15/2020,38.29
9/16/2020,40.17
9/17/2020,40.99
9/18/2020,41.09
9/21/2020,39.26
9/22/2020,39.55
9/23/2020,39.92
9/24/2020,40.11
9/25/2020,40.06
9/28/2020,40.47
9/29/2020,39.03
9/30/2020,40.05
10/1/2020,38.51
10/2/2020,36.9
10/5/2020,39.12
10/6/2020,40.52
10/7/2020,39.82
10/8/2020,41.04
10/9/2020,40.44
10/12/2020,39.22
10/13/2020,40.03
10/14/2020,40.86
10/15/2020,40.84
10/16/2020,40.7
10/19/2020,40.69
10/20/2020,41.37
10/21/2020,39.88
10/22/2020,40.46
10/23/2020,39.73
10/26/2020,38.39
10/27/2020,39.34
10/28/2020,37.27
10/29/2020,35.94
10/30/2020,35.64
11/2/2020,36.6
11/3/2020,37.44
11/4/2020,38.97
11/5/2020,38.56
11/6/2020,36.97
11/9/2020,40.05
11/10/2020,41.18
11/11/2020,41.23
11/12/2020,40.9
11/13/2020,39.93
11/16/2020,41.14
11/17/2020,41.24
